النشاط الاقتصادي,المحافظة,الولاية,عدد_المرات
مكاتب الإستشارات الهندسية المعمارية والمدنية,ظفار,ثمريت,
مكاتب الاستشارات القانونية,ظفار,ثمريت,
عيادة بيطرية,ظفار,ثمريت,
أنشطة تخطيط وتصميم المناظر الطبيعية,ظفار,ثمريت,
الإستشارات الهندسية والكهربائية والميكانيكية,ظفار,ثمريت,
أنشطة تصميم الديكور الداخلي,ظفار,ثمريت,
مكتب إداري,ظفار,ثمريت,
ترويج وتسويق البضائع,ظفار,ثمريت,
استشارات سياحية,ظفار,ثمريت,
تحميض الأفلام وطبع الصور,ظفار,ثمريت,
خدمات ادارة الطاقة الكهربائية,ظفار,ثمريت,
أنشطة أخرى خاصة بأنشطة التصوير,ظفار,ثمريت,
المختبرات الزراعية,ظفار,ثمريت,
مكاتب الإستشارات الهندسية المعمارية,ظفار,ثمريت,
مقاولات البناء والتشييد (إنشاءات عامة للمباني السكنية والغير سكنية),ظفار,ثمريت,
مقاولات إنشاء الطرق (تشمل الشوارع والجسور والأنفاق),ظفار,ثمريت,
مقاولات إنشاء شبكات ومحطات المياه والكهرباء والهاتف,ظفار,ثمريت,
تركيب وإصلاح نظم مرشحات ومقاومة الحريق,ظفار,ثمريت,
تركيب الجبس (أحجار الزينة),ظفار,ثمريت,
تأجير معدات البناء او الهدم التي يشغلها عامل,ظفار,ثمريت,
حفر آبار الماء,ظفار,ثمريت,
تغطية الأرضيات والجدران بالبلاط أو الباركيه أو الرخام أو السيراميك أو الموزاييك,ظفار,ثمريت,
تمديد وصيانة الأنابيب بكافة أنواعها,ظفار,ثمريت,
أعمال تنفيذ التصميم الداخلي (التجصيص والطلاء والتزيين),ظفار,ثمريت,
استخراج الأسمدة الطبيعية,ظفار,ثمريت,
الخدمات المتصلة باستخراج النفط والغاز بإستثناء خدمات المسح,ظفار,ثمريت,
تشغيل مناجم الرمال أو الحصباء، بما في ذلك استخراج وتجريف الرمال الصناعية ورمال الإنشاءات والحصباء وتكسير وجرش الأحجار والحصباء (الكسارات),ظفار,ثمريت,
تشغيل المحاجر,ظفار,ثمريت,
أنشطة دعم خاصة بتعدين ركازات الحديد,ظفار,ثمريت,
تعدين الجبس والأنهيدريت,ظفار,ثمريت,
معاهد تعليم اللغات والحاسب الآلي,ظفار,ثمريت,
التعليم الأساسي (المرحلة الأولى),ظفار,ثمريت,
التعليم الأساسي (المرحلة الثانية),ظفار,ثمريت,
خدمات زراعية متعددة,ظفار,ثمريت,
جمع اللبان,ظفار,ثمريت,
انتاج وتعبئة المياه المعدنية,ظفار,ثمريت,
تربية الدواجن,ظفار,ثمريت,
زراعة الأعلاف كالبرسيم وغيره من أعلاف الحيوانات,ظفار,ثمريت,
زراعة الحبوب (قمح، ذرة، شعير … إلخ)، بإستثناء الأرز,ظفار,ثمريت,
زراعة النباتات الحية لأغراض الغرس والزينة والشتلات (المشاتل),ظفار,ثمريت,
مزارع انتاجية للخضروات,ظفار,ثمريت,
زراعة النخيل وانتاج التمور,ظفار,ثمريت,
الزراعة المختلطة بتربية الحيوان,ظفار,ثمريت,
التطريز اليدوي والجاكار,ظفار,ثمريت,
تفصيل وخياطة وحياكة الملابس الرجالية العربية (محلات تفصيل خياطة الملابس الرجالية),ظفار,ثمريت,
صنع وتركيب المنتجات المعدنية المصنوعة من أجزاء في الوحدة ذاتها والمستخدمة في البناء والتشييد مثل النوافذ والأبواب والسلالم والمظلات وأشغال معدنية مماثلة (ورش الحدادة),ظفار,ثمريت,
قص وتفصيل الستائر,ظفار,ثمريت,
صنع الطابوق الأسمنتي المفرغ والآجار,ظفار,ثمريت,
الطباعة بإستخدام الآلات الناسخة والحاسب الآلي والآلات المكتبية الأخرى مثل ناسخات الصور أو الناسخات الحرارية,ظفار,ثمريت,
صنع منتجات خشبية متنوعة (ورش نجارة),ظفار,ثمريت,
انتاج أغراض معدنية بشكل مباشر من المساحيق,ظفار,ثمريت,
صنع الحلويات العربية تشمل المعمول وخلافه,ظفار,ثمريت,
تشييد المنشآت العائمة مثل: الحفارات، العوامات، أرصفة الحفر، الخزانات ... إلخ,ظفار,ثمريت,
صنع الدقيق والعجين للمخابز,ظفار,ثمريت,
صنع الأسمنت بكافة أنواعه,ظفار,ثمريت,
صنع منتجات مطاطية تامة أو غير تامة الصنع,ظفار,ثمريت,
صنع منتجات ورقية للأغراض المنزلية مثل الأطباق والأكواب والصواني ... إلخ,ظفار,ثمريت,
تفصيل وخياطة العبايات النسائية,ظفار,ثمريت,
صنع المنتجات الحرفية لمستحضرات التجميل والعطور,ظفار,ثمريت,
ورش الألمنيوم,ظفار,ثمريت,
صنع المنتجات الحرفية لادوات الصيد التقليدية,ظفار,ثمريت,
قص وتفصيل المفروشات والأصناف المحشوة والأغطية المنزلية مثل الملاءات، أكياس الوسائد، المفارش، الألحفة، الوسائد، وأكياس النوم للرحلات وأنواع البياضات الأخرى .. إلخ,ظفار,ثمريت,
صنع الخيوط لأغراض الخياطة والحياكة,ظفار,ثمريت,
صنع وتجهيز البخور,ظفار,ثمريت,
صنع المستحضرات العطرية للإستخدام الشخصي مثل: العطورات أو ماء الكولونيا أو التواليت,ظفار,ثمريت,
صنع مستحضرات التجميل، ومستحضرات العناية باليدين والأرجل ... إلخ,ظفار,ثمريت,
صنع وتفصيل ملابس الرجال والنساء والأطفال الأخرى,ظفار,ثمريت,
تنجيد الأثاث مثل: المراتب، المجالس العربية، المجالس الإفرنجية ... إلخ,ظفار,ثمريت,
تشغيل المسالخ (ذبح وتهيئة لحوم المواشي),ظفار,ثمريت,
تنظيم الحفلات,ظفار,ثمريت,
النقل البري بالشاحنات للبضائع والسوائل والمعدات (مجدول - غير مجدول),ظفار,ثمريت,
شحن وتفريغ السلع (بغض النظر عن أسلوب النقل المستخدم),ظفار,ثمريت,
النقل البري بالشاحنات للخردة والسكراب,ظفار,ثمريت,
النقل البري بالشاحنات لاسطوانات غاز الطبخ,ظفار,ثمريت,
تركيب وتمديد وإصلاح الأعمال الكهربائية,ظفار,ثمريت,
انتاج السماد من المواد العضوية,ظفار,ثمريت,
المطاعم,ظفار,ثمريت,
المقاهي التي تقدم وجبات الطعام أساسا,ظفار,ثمريت,
المخيمات السياحية,ظفار,ثمريت,
محلات شوي اللحوم (المشاكيك),ظفار,ثمريت,
بيع الذرة,ظفار,ثمريت,
الفنادق والموتيلات والمنتجعات,ظفار,ثمريت,
غسيل جميع أنواع الملابس والمنسوجات,ظفار,ثمريت,
تصفيف الشعر وأنواع التجميل للنساء,ظفار,ثمريت,
المخازن التجارية العامة,ظفار,رخيوت,11.0
تثمين الممتلكات,ظفار,رخيوت,8.0
وزساطة العقارات (مكاتب الدلاليل),ظفار,رخيوت,3.0
إدارة المشاريع السياحية,ظفار,رخيوت,1.0
إدارة وتأجير العقارات المملوكة أو المؤجرة (السكنية وغير السكنية),ظفار,رخيوت,
أنشطة تصميم الديكور الداخلي,ظفار,رخيوت,
مكاتب الإستشارات الهندسية المعمارية,ظفار,رخيوت,
مؤسسات ووكالات الدعاية والإعلان,ظفار,رخيوت,
مكتب إداري,ظفار,رخيوت,
مقاولات البناء والتشييد (إنشاءات عامة للمباني السكنية والغير سكنية),ظفار,رخيوت,
تركيب الجبس (أحجار الزينة),ظفار,رخيوت,
زراعة المحاصيل التي تستخرج منها التوابل,ظفار,رخيوت,
خدمات إستصلاح الأراضي للأغراض الزراعية,ظفار,رخيوت,
صنع منتجات خشبية متنوعة (ورش نجارة),ظفار,رخيوت,
صنع وتركيب المنتجات المعدنية المصنوعة من أجزاء في الوحدة ذاتها والمستخدمة في البناء والتشييد مثل النوافذ والأبواب والسلالم والمظلات وأشغال معدنية مماثلة (ورش الحدادة),ظفار,رخيوت,
تفصيل وخياطة الملابس النسائية العربية وغير العربية,ظفار,رخيوت,
صنع الطابوق الأسمنتي المفرغ والآجار,ظفار,رخيوت,
قص وتفصيل الستائر,ظفار,رخيوت,
تفصيل وخياطة وحياكة الملابس الرجالية العربية (محلات تفصيل خياطة الملابس الرجالية),ظفار,رخيوت,
قص وتفصيل المفروشات والأصناف المحشوة والأغطية المنزلية مثل الملاءات، أكياس الوسائد، المفارش، الألحفة، الوسائد، وأكياس النوم للرحلات وأنواع البياضات الأخرى .. إلخ,ظفار,رخيوت,
التطريز اليدوي والجاكار,ظفار,رخيوت,
صنع المنتجات الحرفية من الجلد,ظفار,رخيوت,
صنع وتفصيل ملابس الرجال والنساء والأطفال الأخرى,ظفار,رخيوت,
شحن وتفريغ السلع (بغض النظر عن أسلوب النقل المستخدم),ظفار,رخيوت,
نقل وبيع مياه الشرب,ظفار,رخيوت,
المطاعم,ظفار,رخيوت,
المقاهي التي تقدم وجبات الطعام أساسا,ظفار,رخيوت,
مقهى متنقل,ظفار,رخيوت,
إدارة المشاريع السياحية,ظفار,سدح,5.0
إدارة وتشغيل محطات تعبئة الوقود,ظفار,سدح,1.0
أنشطة دعم الخدمات للحكومة ككل، بإستثناء تشغيل المحفوظات الحكومية والمباني الحكومية,ظفار,سدح,1.0
المخازن التجارية العامة,ظفار,سدح,1.0
إدارة وتأجير العقارات المملوكة أو المؤجرة (السكنية وغير السكنية),ظفار,سدح,
وزساطة العقارات (مكاتب الدلاليل),ظفار,سدح,
أنشطة تصميم الديكور الداخلي,ظفار,سدح,
خدمات الترويج والتسويق عبر مواقع التواصل الإجتماعي,ظفار,سدح,
أنشطة استوديوهات ومعامل التصوير,ظفار,سدح,
مقاولات البناء والتشييد (إنشاءات عامة للمباني السكنية والغير سكنية),ظفار,سدح,
تمديد وصيانة الأنابيب بكافة أنواعها,ظفار,سدح,
مقاولات تركيبات الأبنية,ظفار,سدح,
تشغيل مناجم الرمال أو الحصباء، بما في ذلك استخراج وتجريف الرمال الصناعية ورمال الإنشاءات والحصباء وتكسير وجرش الأحجار والحصباء (الكسارات),ظفار,سدح,
التعدين واستغلال المحاجر للحصول على الأسفلت والقار والأسفلتيت والحجر الأسفلتي والبيتومين الصلب الطبيعي,ظفار,سدح,
استخراج الملح من باطن الأرض بما يشمل إذابته وضخه,ظفار,سدح,
الإستزراع السمكي البحري,ظفار,سدح,
زراعة الأعلاف كالبرسيم وغيره من أعلاف الحيوانات,ظفار,سدح,
جمع اللبان,ظفار,سدح,
تفصيل وخياطة وحياكة الملابس الرجالية العربية (محلات تفصيل خياطة الملابس الرجالية),ظفار,سدح,
قص وتفصيل الستائر,ظفار,سدح,
حفظ الأسماك والمنتجات السمكية والأحياء المائية الأخرى عن طريق التبريد أو التجميد,ظفار,سدح,
تفصيل وخياطة الملابس النسائية العربية وغير العربية,ظفار,سدح,
تفصيل وخياطة وحياكة الملابس الرجالية غير العربية,ظفار,سدح,
تفصيل وخياطة العبايات النسائية,ظفار,سدح,
صنع الملابس النسائية والبناتية الجاهزة (ملابس داخلية، ملابس خارجية ... إلخ),ظفار,سدح,
أنشطة مدن التسلية ومدن الألعاب (الملاهي وألعاب التسلية),ظفار,سدح,
النقل البري بالشاحنات للبضائع والسوائل والمعدات (مجدول - غير مجدول),ظفار,سدح,
صنع الثلج للأغراض الغذائية وغيرها (للتبريد مثلا),ظفار,سدح,
المطاعم,ظفار,سدح,
محلات البوظة (الآيس كريم),ظفار,سدح,
غسيل جميع أنواع الملابس والمنسوجات,ظفار,سدح,
قص وتصفيف الشعر والحلاقة للرجال,ظفار,سدح,
إدارة وتشغيل محطات تعبئة الوقود,ظفار,شليم وجزر الحلانيات,12.0
شراء وبيع الأراضي والعقارات وتقسيمها,ظفار,شليم وجزر الحلانيات,6.0
إدارة المشاريع السياحية,ظفار,شليم وجزر الحلانيات,4.0
أنشطة النظام العام والسلامة,ظفار,شليم وجزر الحلانيات,1.0
إدارة وتشغيل محطات تعبئة غاز البترول المسال (غاز الطبخ),ظفار,شليم وجزر الحلانيات,1.0
أنشطة دعم الخدمات للحكومة ككل، بإستثناء تشغيل المحفوظات الحكومية والمباني الحكومية,ظفار,شليم وجزر الحلانيات,1.0
وزساطة العقارات (مكاتب الدلاليل),ظفار,شليم وجزر الحلانيات,1.0
المخازن التجارية العامة,ظفار,شليم وجزر الحلانيات,1.0
إدارة وتأجير العقارات المملوكة أو المؤجرة (السكنية وغير السكنية),ظفار,شليم وجزر الحلانيات,1.0
إدارة المباني الحكومية (المملوكة أو المؤجرة),ظفار,شليم وجزر الحلانيات,
تثمين الممتلكات,ظفار,شليم وجزر الحلانيات,
تقييم المخاطر والأضرار,ظفار,شليم وجزر الحلانيات,
أنشطة تصميم الديكور الداخلي,ظفار,شليم وجزر الحلانيات,
مكاتب الإستشارات المالية,ظفار,شليم وجزر الحلانيات,
مكاتب الإستشارات الهندسية المدنية,ظفار,شليم وجزر الحلانيات,
مكتب إداري,ظفار,شليم وجزر الحلانيات,
أنشطة التصميم على الشاشات,ظفار,شليم وجزر الحلانيات,
استشارات في مجال الطاقة الشمسية,ظفار,شليم وجزر الحلانيات,
أنشطة استوديوهات ومعامل التصوير,ظفار,شليم وجزر الحلانيات,
إستشارات هندسة النفط والغاز والبتروكيماويات,ظفار,شليم وجزر الحلانيات,
مؤسسات ووكالات الدعاية والإعلان,ظفار,شليم وجزر الحلانيات,
عيادة بيطرية,ظفار,شليم وجزر الحلانيات,
اختبار وقياس المؤشرات البيئية,ظفار,شليم وجزر الحلانيات,
أنشطة تخطيط وتصميم المناظر الطبيعية,ظفار,شليم وجزر الحلانيات,
مقاولات البناء والتشييد (إنشاءات عامة للمباني السكنية والغير سكنية),ظفار,شليم وجزر الحلانيات,
تركيب وإصلاح الأدوات الصحية,ظفار,شليم وجزر الحلانيات,
تمديد وصيانة الأنابيب بكافة أنواعها,ظفار,شليم وجزر الحلانيات,
أعمال الحفر وردم الأراضي وتسويتها,ظفار,شليم وجزر الحلانيات,
مقاولات إنشاء الطرق (تشمل الشوارع والجسور والأنفاق),ظفار,شليم وجزر الحلانيات,
مقاولات إنشاء شبكات ومحطات المياه والكهرباء والهاتف,ظفار,شليم وجزر الحلانيات,
أعمال الأساسات وهياكل الإنشاءات وأعمال الخرسانة ورص الطابوق ووضع الأحجار والسقالات وتغطية السقوف وغيرها,ظفار,شليم وجزر الحلانيات,
إعداد مواقع لأعمال التعدين,ظفار,شليم وجزر الحلانيات,
أعمال تنفيذ التصميم الداخلي (التجصيص والطلاء والتزيين),ظفار,شليم وجزر الحلانيات,
الخدمات المتصلة باستخراج النفط والغاز بإستثناء خدمات المسح,ظفار,شليم وجزر الحلانيات,
حفر آبار النفط والغاز الطبيعي,ظفار,شليم وجزر الحلانيات,
استخراج النفط الخام,ظفار,شليم وجزر الحلانيات,
خدمات التدريب,ظفار,شليم وجزر الحلانيات,
صيد الأسماك البحرية,ظفار,شليم وجزر الحلانيات,
تربية الدواجن,ظفار,شليم وجزر الحلانيات,
صنع الطابوق الأسمنتي المفرغ والآجار,ظفار,شليم وجزر الحلانيات,
صنع منتجات خشبية متنوعة (ورش نجارة),ظفار,شليم وجزر الحلانيات,
تشغيل المسالخ (ذبح وتهيئة لحوم المواشي),ظفار,شليم وجزر الحلانيات,
صنع المنتجات الحرفية من السعف,ظفار,شليم وجزر الحلانيات,
صنع المنتجات الحرفية من النسيج القطني أو الصوف,ظفار,شليم وجزر الحلانيات,
خراطة المعادن,ظفار,شليم وجزر الحلانيات,
التطريز اليدوي والجاكار,ظفار,شليم وجزر الحلانيات,
صنع منتجات الفايبرجلاس,ظفار,شليم وجزر الحلانيات,
تفصيل وخياطة الملابس النسائية العربية وغير العربية,ظفار,شليم وجزر الحلانيات,
تفصيل وخياطة وحياكة الملابس الرجالية العربية (محلات تفصيل خياطة الملابس الرجالية),ظفار,شليم وجزر الحلانيات,
إصلاح وصيانة المنتجات المعدنية الإنشائية,ظفار,شليم وجزر الحلانيات,
اصلاح وصيانة أجهزة ومعدات الطاقة الشمسية,ظفار,شليم وجزر الحلانيات,
أنشطة أخرى خاصة بصنع منتجات المخابز,ظفار,شليم وجزر الحلانيات,
صنع الخبز ومنتجاته,ظفار,شليم وجزر الحلانيات,
تفصيل وخياطة وحياكة الملابس الرجالية غير العربية,ظفار,شليم وجزر الحلانيات,
مخبز يدوي (تنور),ظفار,شليم وجزر الحلانيات,
قص وتفصيل الستائر,ظفار,شليم وجزر الحلانيات,
ورش الألمنيوم,ظفار,شليم وجزر الحلانيات,
صنع المنتجات الحرفية من الجلد,ظفار,شليم وجزر الحلانيات,
تفصيل وخياطة العبايات النسائية,ظفار,شليم وجزر الحلانيات,
صنع وتفصيل ملابس الرجال والنساء والأطفال الأخرى,ظفار,شليم وجزر الحلانيات,
حفظ الأسماك والمنتجات السمكية والأحياء المائية الأخرى عن طريق التعليب,ظفار,شليم وجزر الحلانيات,
صنع قوارب وزوارق الصيد والسفن المشتملة على مصانع تجهيز الأسماك,ظفار,شليم وجزر الحلانيات,
صنع وتركيب المنتجات المعدنية المصنوعة من أجزاء في الوحدة ذاتها والمستخدمة في البناء والتشييد مثل النوافذ والأبواب والسلالم والمظلات وأشغال معدنية مماثلة (ورش الحدادة),ظفار,شليم وجزر الحلانيات,
قاعات وصالات الأفراح,ظفار,شليم وجزر الحلانيات,
النقل البري بالشاحنات للبضائع والسوائل والمعدات (مجدول - غير مجدول),ظفار,شليم وجزر الحلانيات,
شحن وتفريغ السلع (بغض النظر عن أسلوب النقل المستخدم),ظفار,شليم وجزر الحلانيات,
النقل المائي الداخلي للركاب,ظفار,شليم وجزر الحلانيات,
صنع الثلج للأغراض الغذائية وغيرها (للتبريد مثلا),ظفار,شليم وجزر الحلانيات,
نقل وبيع مياه الشرب,ظفار,شليم وجزر الحلانيات,
المطاعم,ظفار,شليم وجزر الحلانيات,
الشقق المفروشة (الفندقية),ظفار,شليم وجزر الحلانيات,
محلات شوي اللحوم (المشاكيك),ظفار,شليم وجزر الحلانيات,
تصفيف الشعر وأنواع التجميل للنساء,ظفار,شليم وجزر الحلانيات,
غسيل جميع أنواع الملابس والمنسوجات,ظفار,شليم وجزر الحلانيات,
قص وتصفيف الشعر والحلاقة للرجال,ظفار,شليم وجزر الحلانيات,
إصلاح وصيانة الأجهزة الإلكترونية (يشمل إصلاح الراديو والتليفزيون والأقراص المدمجة),ظفار,شليم وجزر الحلانيات,
غسيل الملابس وكيها بالبخار (الغسيل الجاف),ظفار,شليم وجزر الحلانيات,
أنشطة أخرى خاصة بتنظيم أنشطة تسيير الأعمال والمساهمة في تحسين عملياتها,ظفار,صلالة,68.0
شراء وبيع الأراضي والعقارات وتقسيمها,ظفار,صلالة,7.0
إدارة الابتكارات الصناعية,ظفار,صلالة,4.0
أنشطة النظام العام والسلامة,ظفار,صلالة,3.0
تنظيم أنشطة تقديم الرعاية الصحية والتعليم والخدمات الثقافية وغيرها من الخدمات الاجتماعية، فيما عدا الضمان الاجتماعي,ظفار,صلالة,1.0
إدارة الصالات,ظفار,صلالة,1.0
إدارة وتشغيل محطات تعبئة الوقود,ظفار,صلالة,1.0
إدارة المشاريع السياحية,ظفار,صلالة,1.0
استشارات هندسة العمليات,ظفار,صلالة,1.0
إدارة المشاريع الصناعية,ظفار,صلالة,1.0
أنشطة الخدمة العامة (الشاملة),ظفار,صلالة,1.0
أنشطة دعم الخدمات للحكومة ككل، بإستثناء تشغيل المحفوظات الحكومية والمباني الحكومية,ظفار,صلالة,1.0
إدارة وتشغيل محطات تعبئة غاز البترول المسال (غاز الطبخ),ظفار,صلالة,1.0
المخازن التجارية العامة,ظفار,صلالة,1.0
وزساطة العقارات (مكاتب الدلاليل),ظفار,صلالة,1.0
إدارة وتأجير العقارات المملوكة أو المؤجرة (السكنية وغير السكنية),ظفار,صلالة,1.0
إدارة المباني الحكومية (المملوكة أو المؤجرة),ظفار,صلالة,1.0
أنشطة أخرى خاصة بالأنشطة العقارية على أساس رسوم أو عقود,ظفار,صلالة,1.0
تثمين الممتلكات,ظفار,صلالة,1.0
أنشطة أخرى خاصة بالأنشطة العقارية فى الممتلكات المملوكة أو المؤجرة,ظفار,صلالة,1.0
أنشطة إصدار الحوالات والشيكات المالية,ظفار,صلالة,
تسويق اوراق مالية غير عمانية,ظفار,صلالة,
سمسار تأمين,ظفار,صلالة,
نشاط وساطة في الأوراق المالية للآخرين,ظفار,صلالة,
إدارة الاستثمار,ظفار,صلالة,
وكيل تأمين بالعمولة,ظفار,صلالة,
أنشطة التمويل بالتقسيط,ظفار,صلالة,
أنشطة الخدمات المالية الأخرى، بإستثناء تمويل التأمين والمعاشات التقاعدية غير المصنفة في موضع آخر,ظفار,صلالة,
تقييم المخاطر والأضرار,ظفار,صلالة,
أنشطة استثمار الأموال والأوراق المالية (أسهم وسندات),ظفار,صلالة,
تأمين وإصدار السندات بكافة أنواعها للشركات أو المصارف أو المؤسسات المالية غير المصرفية,ظفار,صلالة,
صانع السوق,ظفار,صلالة,
التأمين على الحياة,ظفار,صلالة,
استبدال العملات (محلات الصرافة),ظفار,صلالة,
إدارة وتشغيل الأسواق المالية,ظفار,صلالة,
أنشطة تقديم الإستشارات والأبحاث المالية,ظفار,صلالة,
المصارف المركزية,ظفار,صلالة,
التأمين، بخلاف التأمين على الحياة,ظفار,صلالة,
تأمين ائتمان ذمم تجارية للمبيعات المحلية، الصادرات، والواردات,ظفار,صلالة,
إدارة صناديق الاستثمار,ظفار,صلالة,
إدارة الائتمان والعقارات الخاصة,ظفار,صلالة,
أنشطة تخطيط وتصميم المناظر الطبيعية,ظفار,صلالة,
أنشطة تصميم الديكور الداخلي,ظفار,صلالة,
ترويج وتسويق البضائع,ظفار,صلالة,
مكتب إداري,ظفار,صلالة,
الإستشارات الإدارية,ظفار,صلالة,
مكاتب الاستشارية الخاصة بجهات تقييم المطابقة,ظفار,صلالة,
خدمات الترجمة,ظفار,صلالة,
أنشطة استوديوهات ومعامل التصوير,ظفار,صلالة,
أنشطة الرسم على الزجاج واللوائح,ظفار,صلالة,
أنشطة التصميم على الشاشات,ظفار,صلالة,
أنشطة تصميم الملابس,ظفار,صلالة,
فحص ومعايرة الاجهزة والمعدات والمواد تامة الصنع,ظفار,صلالة,
أبحاث السوق واستطلاعات الرأي العام,ظفار,صلالة,
مكاتب الإستشارات الهندسية المعمارية والمدنية,ظفار,صلالة,
مؤسسات ووكالات الدعاية والإعلان,ظفار,صلالة,
اختبار الأداء للآلات تامة الصنع,ظفار,صلالة,
أنشطة السمسرة التجارية,ظفار,صلالة,
عيادة بيطرية,ظفار,صلالة,
مختبر للفحوص والاختبار (مطابقة المواصفات),ظفار,صلالة,
إستشارات في مجال الاستزراع السمكي,ظفار,صلالة,
مكاتب الإستشارات الهندسية المدنية,ظفار,صلالة,
مكاتب الإستشارات الهندسية المعمارية,ظفار,صلالة,
التطوير العقاري,ظفار,صلالة,
استشارات هندسة السلامة والوقاية من الحرائق,ظفار,صلالة,
مكاتب المراجعة وتدقيق الحسابات,ظفار,صلالة,
الخدمات المساحية والكمية,ظفار,صلالة,
أنشطة أخرى خاصة بالأنشطة المهنية والعلمية والتقنية الأخرى غير المصنفة فى موضع آخر,ظفار,صلالة,
استشارات سياحية,ظفار,صلالة,
استشارات الهندسة الميكانيكية,ظفار,صلالة,
استشارات ادارة المشاريع,ظفار,صلالة,
مكاتب الاستشارات القانونية,ظفار,صلالة,
إستشارات اعلامية,ظفار,صلالة,
المختبرات الزراعية,ظفار,صلالة,
خدمات الترويج والتسويق عبر مواقع التواصل الإجتماعي,ظفار,صلالة,
تقييم وتثمين الموجودات والممتلكات (لا تشمل الممتلكات العقارية أو تقدير الخسائر للتأمين),ظفار,صلالة,
أستشارات التمويل والاستثمار,ظفار,صلالة,
استشارات في مجال الطاقة الشمسية,ظفار,صلالة,
